,nbr of visits,accuracy,recall,f1
0,2,0.9911054637865311,0.07079324741332317,0.13214739517153662
1,12,0.7328432262358526,0.2846251588310037,0.41000904347882794
2,22,0.7886963206213478,0.46678163005989914,0.5864682115079961
3,32,0.7885027897416701,0.5353966237066627,0.637754994258029
4,42,0.7870762902211431,0.5249591577418768,0.6298349744049567
5,52,0.9359939933002189,0.6758939916500284,0.784958659905467
6,62,0.8845776029702381,0.6119077872572164,0.7234015476870648
7,72,0.9195673167718958,0.7152840805953878,0.8046625690652709
8,82,0.9435599272956309,0.7110183336358655,0.8109479291884573
9,92,0.9170969366649147,0.6571065529134161,0.7656321571244354
10,102,0.9339294406003411,0.6911417680159749,0.7943992132237565
11,112,0.9629709623991708,0.7072971501179914,0.8155656115889771
12,122,0.9215121600127921,0.725903067707391,0.8120945984075472
13,132,0.9470126090202317,0.7986930477400578,0.8665520261305923
14,142,0.9490579271074812,0.7452350698856433,0.8348865891420993
15,152,0.9396711998999193,0.7897077509529846,0.8581874198738015
16,162,0.9663563035862904,0.8212924305681613,0.8879385554932814
17,172,0.958788560726299,0.7826284262116533,0.8617983951912557
18,182,0.9447516023437224,0.7689235795970253,0.8478173595085395
19,192,0.9584622175791174,0.7655654383735717,0.8512224792124782
