,nbr of visits,accuracy,recall,f1
0,2,0.62148807002682,0.4432746414957289,0.5174672224219358
1,12,0.5958209798108148,0.4249410056271544,0.49607796909860563
2,22,0.69713398277566,0.49718642221818493,0.580423057755143
3,32,0.6889877170690405,0.4911962243601353,0.5735176583490756
4,42,0.7200762388818324,0.4991831548375372,0.5896201095520348
5,52,0.6975998870535106,0.4976402250862223,0.5808937656751723
6,62,0.6965621911619371,0.4749500816845149,0.5647952262367264
7,72,0.8740787801778833,0.6232528589580745,0.7276572329892331
8,82,0.7747282225045852,0.5358504265746938,0.633519321866236
9,92,0.6045849216433734,0.4116899618805588,0.48983114190888033
10,102,0.7188761824085849,0.4675984752223622,0.5666288860128103
11,112,0.6064379500211748,0.423761118170263,0.498903234795201
12,122,0.8888182973316346,0.6337810854964648,0.7399401728978122
13,132,0.9387971198644571,0.6693592303503425,0.7815067453157246
14,142,0.7767189044190312,0.5458340896714461,0.6411231277968152
15,152,0.9017753776648325,0.5592666545652555,0.6903742500359596
16,162,0.8216463968052301,0.5049010709747682,0.6254584261561019
17,172,0.5490172646779998,0.35786894173171635,0.4332985243663365
18,182,0.8243404731651236,0.5080776910510103,0.6286750143368569
19,192,0.6995890562917221,0.4451806135414739,0.5441155430895194
