,nbr of visits,accuracy,recall,f1
0,2,0.7674714104193139,0.05472862588491558,0.10217137884597553
1,12,0.5418164216131222,0.19562534035215276,0.2874614033357215
2,22,0.8322458566422911,0.5090155503116143,0.6316831014700107
3,32,0.7683775493178286,0.4984026139045226,0.6046216860096788
4,42,0.8283731763083756,0.514061838204152,0.6344218276915656
5,52,0.8654030354792812,0.5522296847582787,0.6742243440762239
6,62,0.8350971138137528,0.5556483330307995,0.6672972689031691
7,72,0.9048081242490364,0.7138440128274963,0.7980613591496011
8,82,0.8907711270798924,0.6508561747443571,0.7521453306618117
9,92,0.8920579561621509,0.6141586494826659,0.7274718756433717
10,102,0.8980852727676059,0.6740727294729842,0.7701195302904524
11,112,0.9404848469333845,0.6773038058933883,0.7874872469899185
12,122,0.9268275068147972,0.7212440249289047,0.8112133345603866
13,132,0.9643097901674772,0.7527924003146413,0.8455234471318936
14,142,0.947489042088788,0.730531856961339,0.8249848732628516
15,152,0.940337172357503,0.792763356931081,0.8602672964518897
16,162,0.9551730494551317,0.8128637986325424,0.8782911896562757
17,172,0.9415351942988539,0.7921945906698133,0.8604329167273129
18,182,0.9618125838583269,0.7949295092878345,0.8704444531685178
19,192,0.9600647129236711,0.7315241725661034,0.830356064355505
20,202,0.9500690189381427,0.8156713257094437,0.877755394264848
21,212,0.9662103532497437,0.804937375204214,0.8782314576535935
22,222,0.9632470875164643,0.7654565256852448,0.8530366493781962
23,232,0.9651867404091028,0.8026986143885786,0.8764754536260969
24,242,0.9693195975279846,0.8288195074726195,0.8935804679098306
25,252,0.9495783688286868,0.841919283596539,0.8925139688804438
26,262,0.9555725088126606,0.8086888122466263,0.8760162544438292
27,272,0.9677802925579284,0.8338899981847876,0.8958601477207233
28,282,0.9626290058945713,0.8379681732921884,0.8959832648320308
29,292,0.9687489554071508,0.8492043323047137,0.9050461476739619
30,302,0.972136948185232,0.846923216554731,0.9052205826368938
31,312,0.9690066604297857,0.8641374720154914,0.913572425745923
32,322,0.9694774165549256,0.8310703696980714,0.8949542590779347
33,332,0.9577466653070213,0.8366914745567866,0.8931357976022464
34,342,0.9682408795496464,0.8478126701760786,0.9040337886386638
35,352,0.9565592462034647,0.8276033157862926,0.8874209343582996
36,362,0.9692074972888178,0.8177467174925901,0.8870582613937774
37,372,0.9705554927918342,0.8280813214739515,0.8936755532416243
38,382,0.9592750677248767,0.8249410056271562,0.8870510145728102
39,392,0.9694711895474283,0.8515459551037698,0.9066902774349006
40,402,0.9715701706171844,0.876886307254796,0.9218032335088816
41,412,0.9694895109126365,0.8886670297089619,0.9273205407209841
42,422,0.9684040863837554,0.893199007684397,0.9292824789039794
43,432,0.9701886423614497,0.8815998063774461,0.9237751967163849
44,442,0.9725111539596928,0.8785744539238827,0.9231593097435625
45,452,0.9687600413140431,0.8914987596054981,0.9285249716436573
46,462,0.9690431973786471,0.878907242693776,0.9217769764711312
47,472,0.9695465060141037,0.8922974526532363,0.9293194239161308
48,482,0.9697770815941087,0.8911296666061611,0.9287914380868799
49,492,0.9732541071804093,0.8933926302414233,0.9316149963201967
50,502,0.9688027559056775,0.8800871301506648,0.9223165138792911
51,512,0.9705575661102983,0.9028438313063484,0.935476948718753
52,522,0.9643687528058561,0.8745809886851849,0.9172829014915775
53,532,0.9717057332050972,0.8805832879530486,0.9239031486928159
54,542,0.9716327862452383,0.8784231863012072,0.9226799412273835
55,552,0.9720241497878083,0.8753433775034806,0.9211539011273833
56,562,0.9705968533795719,0.877812065105587,0.9218756950689831
57,572,0.9716853032609067,0.8957463544502939,0.9321718034229565
58,582,0.9709956286830506,0.9071458824953121,0.9379854299989705
59,592,0.9698071376597432,0.8923761118170264,0.9294818036413632
60,602,0.9718982838423762,0.8969201912022755,0.9329051550094929
61,612,0.970278979808838,0.883935378471596,0.9250968351207698
62,622,0.9695007026010838,0.8865734858110986,0.9261845488370896
63,632,0.9717159587553484,0.8824348036546292,0.9249258460059855
64,642,0.9721936682546581,0.8969262419071828,0.9330444863733826
65,652,0.9721081967587676,0.9034368003872469,0.936515327807499
66,662,0.971540844444275,0.8600713983179061,0.9124141814470734
67,672,0.9667231540166729,0.8640285593271643,0.912495569929163
68,682,0.9703970743360824,0.8964845404489634,0.931977655518738
69,692,0.969053909524049,0.8804380710352778,0.922623037892302
70,702,0.970774397140344,0.8681611907787284,0.9166048687464442
71,712,0.9707489249420631,0.8699400980214201,0.9175840181397552
72,722,0.9705819240762052,0.8808071640346123,0.9235179331008877
73,732,0.9691226393259429,0.8756277606341148,0.9200059655454438
74,742,0.970943372595215,0.8905609003448927,0.9290166202160759
75,752,0.9680323911581844,0.8844133841592574,0.9243356155926092
76,762,0.9668760506752888,0.8817147697706795,0.9223337960882878
77,772,0.9682770638933275,0.9043565075331287,0.9352258521777673
78,782,0.9700709921167346,0.8748230168814682,0.9199882787560046
